bid,微博正文,相关,正面,负面
LvypwC6yL,"尊敬的负责人，您好，我现居住河北廊坊市三河市燕郊经济开发区，自今年2022.1月开始，不管三河市有无病例出现，我们一直处于封控，全员核酸，居家状态。1.从2022.1.26-2.8日，因天津疫情，三河市燕郊封控管理，全员核酸。2.从2022.3.12-4.4日，因廊坊本市区的疫情，三河市燕郊又封控管理，全员核酸。3.从2022.4.28-5.28日，因北京疫情，三河市燕郊再次封控管理，全员核酸。4.从2022.5.30-31,因廊坊永清疫情，三河市燕郊通知静默2天，全员核酸。综上，不管三河市有无本土病例，只要周边有病例出现，我们就被要求全员核酸，居家隔离。这种过度防疫、一刀切政策，不顾及人民群众的生活困难，严重影响了正常的生活与工作。恳请有关部门，积极和本市政府沟通，要求其做到精准防控，有病例小区，我们积极配合防控管理，无病例小区可自由活动、外出工作。转自社区群#寻找生活中的光#",1,0,1
LvrZe4nM5,#6月1日零时起上海有序恢复住宅小区出入#其实还没完全动态清零，但的确是总体可控范围内了，希望之后疫情防控一定要遵循实事求是的原则，就一定能尽快实现动态清零。  网页链接 ,1,0,0
Lvgrt5IaA,大江东｜事不过夜，守住底线 上海抗疫众志成城2022年的春天，曾经清零的疫情，卷土重来。“坚决守住不出现疫情规模性反弹的底线！”国务院联防联控机制12日召开电视电话会议，中共中央政治局委员、国务院副总理孙春兰如是说。国家层面的高度重视，说明此轮疫情防控形势之严峻。上海也面临着疫情来袭的巨大考验。“心往一处想，劲往一处使。”3月11日下午，上海市疫情防控工作领导小组会议再部署再落实疫情防控。上海市委书记、市疫情防控工作领导小组组长李强主持会议并讲话，用这十个字给上海抗疫凝心聚力。此刻的上海，不断涌现的抗疫故事令人动容。五指并拢，聚力战疫“带上行李，到九里亭报道。”近日，松江区九里亭街道永辉超市沪亭北路店被列为中风险地区。根据疫情防控需要，九里亭街道辖区多个小区被封控。疫情防控人员、街道工作人员、基层民警、志愿者、保安立即集合，穿好防护服后分赴相关区域。除了常规的疫情防控力量，从运输发放物资到上门提供医疗服务，从引导居民核酸检测到为患者买药配药，在九里亭街道的多个封控小区内，出现了多支由居民自发组建的抗疫保障突击队。 志愿者们带上行李，到九里亭报道。九里亭街道供图在业主群不断看到医疗求助信息，九里亭街道社区干部随即决定招募职业是医生、护士的业主，组建一支医护志愿服务队，解决小区内居民求医问药需求。招募令发出20分钟不到，就有十几名医务人员报名，很快，一支30人、来自不同医院不同科室的医护人员组成的医疗志愿服务队成立了。,1,0,0
Lv71rdgVM,【#北京本轮疫情已得到有效控制# 】5月28日，在北京市新型冠状病毒肺炎疫情防控工作第348场新闻发布会上，市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建介绍，北京已连续6天实现新冠肺炎病例数下降，昨日社会面病例数实现清零，8个区已稳定实现社会面清零，个别区零星病例均在可控范围，本轮疫情已得到有效控制！#北京疫情#,1,0,0
Lv00B8czw,#天津疫情#【5月28日，和平区开展全员核酸检测】为切实保障人民群众生命安全和身体健康，排查奥密克戎变异毒株潜在传播风险，按照市疫情防控指挥部要求，和平区疫情防控指挥部定于2022年5月28日在全区范围内开展一次核酸检测。现将相关情况通告如下：一、筛查时间和范围1、5月28日中午12时之前，对全区集中隔离、居家隔离、封控区、管控区、防范区等纳管区域人员开展筛查采样。2、5月28日晚19时到23时，对辖区内全体居民（除纳管区域人员）开展筛查采样。二、注意事项（一）筛查期间，实行全区全员保持静止，请广大居民朋友在居住地根据街道统一部署和社区的组织安排，到指定地点及时配合进行核酸检测。（二）请广大居民朋友积极配合各采样点工作人员做好样本采集工作，携带居民身份证、护照等有效证件，分时段有序前往指定采样点进行采样。请大家不恐慌、不造谣、不信谣、不传谣，对拒不配合、不支持核酸检测工作、扰乱秩序、瞒报、谎报、伪造信息的人员，公安机关将依法从严追究法律责任。（三）凡是未在规定时间内参加核酸检测的居民，“健康码”调整为“橙码”，完成核酸检测且结果呈阴性后转为“绿码”。（四）请参加核酸检测人员在采样期间做好个人防护，全程佩戴口罩（建议佩戴N95口罩），主动接受体温检测，不要聚集，保持一米以上距离，不随意在采样现场走动，不擅自进入采样现场的其他区域，防止发生交叉感染。采样完成后，听从现场工作人员指挥，按照区域静态管理相关要求迅速返回家中。天气炎热，请照顾好随行的老人和孩子。（五）接种新冠病毒疫苗不超过48小时人员，向居住地所在社区报备后，不参加本轮全员核酸检测，后续将单独安排补测。请您全力配合全员核酸检测工作，共同构筑牢固防疫屏障。在此，衷心感谢广大居民朋友的理解、配合、支持！和平区疫情防控指挥部2022年5月27日,1,0,0
LuCgrrL8C,#天津和平区实施全域静态管理#  凌晨接到的通知说是居家三天，结果中午突然接到通知下午正常上班，大老远的赶过去都来不及，和平区静态了个寂寞啊，几百号人还是来回流动呢 ,1,0,0
LuwJSlLgC,权威专家解“疫”释惑系列图解之二奥密克戎救治工作面临哪些变化和挑战？人民网 2022-05-24 13:05编者按：新冠肺炎疫情发生以来，我国坚持人民至上、生命至上，坚持外防输入、内防反弹，坚持动态清零，因时因势不断调整防控措施。近日，国务院联防联控机制综合组专家就当前我国为什么不能放松疫情防控、奥密克戎疫情的救治工作与此前相比有哪些新变化和新挑战等一系列与疫情防控有关的最新问题进行权威解答。今日起，人民网推出系列图解，为网友解“疫”释惑。,1,0,0
Lunwk3cZk,人间四月天，长恨春归的现实记录。2022年5月23日。北京。睛。很热。疫情在动态清零的状态中胶着着。昨天与今天的新增病便都超过了60例，但仍旧在双位数区间。有很多人开始了集中隔离的生活，有很多人开始了社区管控的生活，更多的人是居家办公的生活。无论怎么样，太阳每天都照常升起，核酸每天都得做一次。据集中隔离的人们表述，集中隔离的条件很好，单人单间，满足各种需要，饮食很好，环境很好。宠物有专人专业机构负责寄养。如有合理所需可以同间房陪护老人。但是仍旧没有明确的政策或者说明，半自理和不能自理的老人的隔离政策与细节。截至目前，北京的防控有效果，没有出现极端事件，人性化体现得很好。明显的区别于上海的防疫状态。 一个阿尔茨海默病人家属的疫情焦虑,1,0,0
LucdSscwa,#北京近24小时新增本土感染者94例#这不就说明现有政策达不到动态清零的目的吗该调整调整，长痛不如短痛 ,1,0,1
Lu3WIgdjj,#共同战疫#【北京疾控：当前本市疫情仍处于胶着状态，疫情防控形势严峻复杂】在今天下午举行的#北京市疫情发布会#上，北京市疾病预防控制中心副主任刘晓峰介绍，当前本市疫情仍处于胶着状态，疫情防控形势严峻复杂。要坚定必胜信心，尽快实现动态清零目标，以更快速、更果断、更坚决的措施，守住每一道防线、消除每一处隐患，切实阻断疫情传播链条。  各区、单位、部门、行业要严格落实“四方责任”，履行主体责任，继续深挖细排所辖区域与岳各庄市场等疫情相关风险人员，严格落位管控；实施居家办公和点对点闭环管理的区域，加强人员管理，严控到岗率，切实做好健康监测、核酸检测、查验证明等各项防控措施；严格社区（村）人员管理，落实测温、扫码、查验48小时内核酸检测阴性证明等防疫措施。  请与官方公布的病例活动轨迹及岳各庄市场、新发地市场风险点位有时空交集人员、接到健康宝弹窗提示人员立即向社区报告，配合各项防控措施。请广大市民朋友继续加强防控意识，非必要不流动，非必要不外出，进入公共场所要坚持全员扫码登记、科学佩戴口罩、勤洗手、常通风、不聚集、保持安全社交距离等常态化防控措施。（北京发布）,1,0,0
LtU0r88MA,【教育部：各地各校坚持“动态清零”总方针不放松 给毕业生提供支持】云财经讯，教育部日前召开2022年第七次全国教育系统疫情防控工作视频调度会议，对当前教育系统疫情防控工作作出部署。要求各地各校要坚持“外防输入、内防反弹”总策略和“动态清零”总方针不放松，抓实抓细教 （分享自 @云财经）卫优洁力素免洗抑菌洗手液300ml*2瓶有效杀菌抑菌免洗 消毒液,1,1,0
LtJJfinGB,和猫咪全城静态管理的一天。#长毛猫#宠物#猫咪# 捌百是猫咪的微博视频 ,0,0,0
LtCGs0XOF,【“动态清零”才是制胜法宝！台胞超有感】在5月17日召开的上海市新冠肺炎疫情防控新闻发布会上，上海市卫生健康委副主任赵丹丹透露，目前，上海市16个区都已实现社会面清零。通过一次次“清零”的成功，生活在大陆各地的台青、台商、台胞志愿者、台湾公卫专家普遍认为，“动态清零”是大陆防控疫情的制胜法宝。身在北京的台胞，旺旺集团驻京首席代表林天良对于大陆严谨高效的防疫政策印象深刻。作为全国台企联常务副会长的他说，许多台商也向他反映认为“动态清零”依然是大陆最经济、最有效的防控策略。更多详情→“动态清零”才是制胜法宝！ 台胞超有感  看台海的微博视频,1,1,0
LtpkUxPf1,#上海新增77例本土确诊746例本土无症状#居家防疫第62天，今天感染人数还是下降趋势，总体看起来还不错，全市16个区全部实现社会面清零，明天是全市核酸分级的大日子，说好了我们小区今天没有核酸，明天可以进入防范区，但是但是事情发展的猝不及防，小区突然出现一例阳，是以前封控楼栋的密接，从酒店隔离7天回来，现在居家监测，突然转阳了，不知道算不算我们小区名额，这个病毒真的太狡猾了。本来明天是全市分区的大日子，小区的崩溃就在一瞬间。以前总说你管好你自己就行了，现在发现，你管好自己根本没有用！小区总是在临近终点线的时候，被狠狠的拌上一脚，然后回到起点重新开始。太难了！基于突发状况，下午临时又被安排核酸了#就这一刻##上海努力在本月中旬实现社会面清零##遇见美好##宝宝的少女心##爱上这座城##2022你最想实现的愿望##常年不吃晚饭的人怎么样了##上海各区实现社会面清零##乘风破浪#,1,0,0
LtkcVj2PP,关于在全市范围内开展核酸检测工作的通告      为维护广大市民身体健康，做好陆路口岸城市疫情防控工作，切实筑牢我市疫情防控安全防线，经市疫情防控工作领导小组研究决定，自5月17日0时起至5月19日24时 ，全市将开展为期3天的静态管理，连续开展三轮区域核酸检测，现就有关事项通告如下：       一、静态管理要求    （一）请广大市民积极配合静态管理工作，各小区包保单位要做好24小时值班值守及人员登记工作。    （二）从5月17日0时起 ，对全市各交通道路和市区出入口实行严格交通管制。      1.除物资保供车辆外，其他所有车辆、人员严禁进出珲春市。      2.除军车、消防车、救护车、警车、民生物资保障车、检验标本送检车和殡葬、环卫、抢险等特殊车辆以及执行防疫任务车辆外，其他所有车辆一律禁止在珲春市辖区上路行驶。      3.执行防疫任务的机关干部、志愿者、社区工作人员严禁在当日防疫任务完成后，仍以防疫工作为借口驾驶私家车上路行驶。      4.市公安局将对在交通管制期间违反规定上路行驶的机动车和驾驶员，根据《中华人民共和国道路交通安全法》第三十九条第一款、第四十条之规定，依法给予违法行为人行政罚款200元、记3分的处罚；对于涉嫌其他违法行为的，将严格按照相关法律予以处理。      5.纪检监察部门将会同公安交警部门定期上路巡查，对违反有关规定人员，一经发现，严肃处理。    （三）即日起，全市各中小学校全部停止线下教学（核酸检测点开设高三、初三学生绿色通道）。    （四）除定点保供超市、药店外，其余营业场所全部暂停营业。    （五）个体诊所暂停营业。    （六）社会福利、养老服务机构实行全封闭管理，禁止人员进出。养老机构暂停接收新入住老年人，停止探视活动。监管场所实行全封闭管理，暂停家属探视。    （七）暂停举办一切聚集性活动。    （八）严禁造谣传谣、谎报瞒报疫情、发布不实信息。    （九）本公告自发布之日起施行，所有在我市单位和人员均需严格遵守，对违反公告规定的，公安机关将依法严厉打击处理。      二、区域核酸检测相关要求    （一）检测时间      5月17日至5月19日，连续开展3轮核酸检测，检测开始时间分别为：17日9时 、18日8时 、19日8时 。    （二）检测人员范围      除48小时内接种过新冠疫苗人员和闭环管理人员外，全市辖区内所有居民（含本地常住人口、暂住人口、临时流动人员等）均须参加区域核酸检测。    （三）相关要求      请广大市民继续积极响应号召，密切关注辖区网格员和行业管理部门的具体通知，准时参加核酸检测，做到应检尽检、不漏一人，不参加核酸检测人员将赋“黄码”。市民在等候及采样过程中，要严格做好个人防护，保持2米距离、有序排队，采样结束后立即离开现场返回家中，继续配合静态管理。        珲春市新冠肺炎疫情防控工作领导小组                         2022年5月16日,1,0,0
Lt8axdSFk,今天早上八点开始做核酸检测，一天又一天，马上就把半年好时光过去了，本月20号社会面清零的目标能够实现吗？今天下午4：45分到居委会集合 ，晚上五点开始到六点钟，挨个居民楼消杀，我要背着三十多斤的农药桶去六栋楼喷洒消毒液，当志愿者第一次做这个事情，对于我这个五十五岁的人来说，白天当志愿者分发快递，晚上再当志愿者消杀病毒，我是真的尽力了！ 上海·高景花园 在上海打拼的临河人的微博视频,1,0,0
LsZlNutgB,#战机飞行员视角的祖国有多美# 全域静态管理，美的见不着人。 ,1,0,1
LsRGEpHXk,#上海疫情##上海身边事# 杨浦区这次是要晋级总决赛了，将于5月13日、14日、15日连续三天在全区范围内开展全员核酸筛查。在此期间，全区将实行“全域静态管理”，除参加核酸检测外，所有居民实行“足不出户”。 ,1,0,0
LsG3nxUCM,梳理69天的封闭万一以后翻翻2022年3月4日（二月初二） 停学停课开始封城3月6日停工停产火车停运3月8日禁止出小区这期间每天一次的全员核酸 不停的建十几座方舱医院一个又一个学校的学生被拉走各地援助医护包机包车抵吉林每天可怕及不敢想象的数据3月21日静态管理足不出户单元门贴封条 社区，警察.自愿者等小区巡逻。负责为百姓服务。吉林市变成一座空城抢菜行动拉开序幕3月26日社区开始订购蔬菜盲盒各地援助生活物资 长春疫情也达到高峰医护志愿者累倒一批又一批有因劳累过度猝死一线的工作者4月5日1人确诊带走一个单元3-5人确诊带走一个楼邻居集中隔离每天都在核酸 抢菜 看数据中度过 提心吊胆的过着不知明天在哪的日子4月17日无疫小区可以错峰下楼2小时4月19日起各地援助医护陆续返回各区陆续申报无疫小区严格的检查 无人机的航拍4月28日无疫小区每户发一张出门卡4月28-5月11日无疫小区处于半解半封状态二天可以用出门卡出去一天全员核酸静态管理 有序的恢复生产生活当然还有一些被封着的单元和户门不能自由活动的人也不少5月12日无疫小区彻底解封3月4日-5月12日历时69天一场有没硝烟的战争变成常态化预防希望接下来的生活都是甜的          ——最后一次记录疫情          ——2022年5月11日夜转载！,1,0,0
LsvxMwknI,当前首都疫情防控正处于“逆水行舟、不进则退”的关键时期，在院党委的带领下，医院上下同心，积极响应 “动态清零”总方针，先后派出多批次医疗队完成核酸采集工作。在这分秒必争的紧急时刻，风湿免疫科党支部发挥战斗堡垒作用，支部书记宋慧第一时间组织支部会议，迅速调动党员群众积极参与，先后派出多支队伍支援核酸采集工作，并为外派人员做好了后勤保障。,1,1,0
LsmfwuaCX,#辽宁好网民抗疫在行动# 【#沈阳新民市主城区实施静态管理#】5月8日，在常态化核酸检测中，新民市发现初筛核酸检测结果异常人员，第一时间启动了应急响应，对相关人员及活动区域实施严格封控，流调溯源、核酸检测、隔离管控、环境消杀等处置工作正在依规有序开展。根据目前新民市疫情防控形势，为有效控制疫情传播扩散风险，切实保障广大人民群众生命安全和身体健康，市疫情防控指挥部决定， 自5月10日0时起，对新民市主城区实施静态管理，辽滨街道依林印象小区、新柳街道新铁佳园小区实施封闭管理。现将具体防疫措施通告如下：1.在实施静态管理区域内，停止一切非必要流动、活动，居民除按属地街道统一组织参加例行核酸检测和收取、购买必要生活物资外，要做到足不出户。2.在此区域内满足群众必要生活物资和急需用药的市场主体，经行业主管部门审批同意，可以运营，其他经营性场所暂一律关停；生产性企业在确保员工不出厂区的前提下，封闭运行。3.在此区域内需上岗的机关事业单位工作人员、公安干警、医护人员、物业人员、社区工作者及服务保障疫情防控工作人员，按照市疫情防控指挥部统一要求，凭相关出入证明出入小区卡口。4.在此区域内已经划定的封控区、管控区继续按照封控区、管控区相关要求严格落实疫情防控措施。5.请关注官方发布的权威信息，不信谣、不传谣；提高个人防护意识，戴口罩，勤洗手，常通风，不聚集，保持安全社交距离。如出现发热、咳嗽、腹泻、乏力等症状，立即向所在社区报告后，请佩戴好N95口罩，统一由120救护车及时送至就近发热门诊就诊。6.严格落实重点关注地区来（返）新人员管理，来（返）新各类人员要严格按照新民市新冠肺炎疫情防控指挥部相关通告要求做好主动报备。各乡镇街，各级党政机关、企事业单位及各类市场主体要履行主体责任，主动进行排查。7.对拒不执行疫情防控期间相关规定，拒绝接受封闭管控、核酸检测、隔离观察等防控措施，强行冲闯社区（小区）、道路出入口设置的隔离、警戒、封控设施，未按规定要求做好域外来（返）新人员主动报备管理，以及编造散布谣言、借机滋事等其他扰乱公共秩序的违法行为，公安机关将依法从重严厉打击。8.疫情当前，需要和“病毒赛跑”，请广大居民予以理解，全市上下共同努力，争取以最短的时间遏制疫情发展势头，静态管理可能会给群众生活造成一定困难，如有生活需要，请与所在社区联系。9.解除封闭静态管理时间根据疫情形势另行通知。,1,0,0
